0,4
1,5
2,6
3,7
4,0
5,1
6,2
7,3
8,4
9,5
10,6
11,7
12,0
13,1
14,2
15,3
16,4
17,5
18,6
19,7
20,0
21,1
22,2
23,3
24,4
25,5
26,6
27,7
28,0
29,1
30,2
31,3
32,4
33,5
34,6
35,7
36,0
37,1
38,2
39,3
40,4
41,5
42,6
43,7
44,0
45,1
46,2
47,3
48,4
49,5
50,6
51,7
52,0
53,1
54,2
55,3
56,4
57,5
58,6
59,7
60,0
61,1
62,2
63,3
64,4
65,5
66,6
67,7
68,0
69,1
70,2
71,3
72,4
73,5
74,6
75,7
76,0
77,1
78,2
79,3
80,4
81,5
82,6
83,7
84,0
85,1
86,2
87,3
88,4
89,5
90,6
91,7
92,0
93,1
94,2
95,3
96,4
97,5
98,6
99,7
100,0
101,1
102,2
103,3
104,4
105,5
106,6
107,7
108,0
109,1
110,2
111,3
112,4
113,5
114,6
115,7
116,0
117,1
118,2
119,3
120,4
121,5
122,6
123,7
124,0
125,1
126,2
127,3
128,4
129,5
130,6
131,7
132,0
133,1
134,2
135,3
136,4
137,5
138,6
139,7
140,0
141,1
142,2
143,3
144,4
145,5
146,6
147,7
148,0
149,1
150,2
151,3
152,4
153,5
154,6
155,7
156,0
157,1
158,2
159,3
160,4
161,5
162,6
163,7
164,0
165,1
166,2
167,3
168,4
169,5
170,6
171,7
172,0
173,1
174,2
175,3
176,4
177,5
178,6
179,7
180,0
181,1
182,2
183,3
184,4
185,5
186,6
187,7
188,0
189,1
190,2
191,3
192,4
193,5
194,6
195,7
196,0
197,1
198,2
199,3
200,4
201,5
202,6
203,7
204,0
205,1
206,2
207,3
208,4
209,5
210,6
211,7
212,0
213,1
214,2
215,3
216,4
217,5
218,6
219,7
220,0
221,1
222,2
223,3
224,4
225,5
226,6
227,7
228,0
229,1
230,2
231,3
232,4
233,5
234,6
235,7
236,0
237,1
238,2
239,3
240,4
241,5
242,6
243,7
244,0
245,1
246,2
247,3
248,4
249,5
250,6
251,7
252,0
253,1
254,2
255,3
256,4
257,5
258,6
259,7
260,0
261,1
262,2
263,3
264,4
265,5
266,6
267,7
268,0
269,1
270,2
271,3
272,4
273,5
274,6
275,7
276,0
277,1
278,2
279,3
280,4
281,5
282,6
283,7
284,0
285,1
286,2
287,3
288,4
289,5
290,6
291,7
292,0
293,1
294,2
295,3
